net,ref,pin,pin_name
+3V3,C23,1,1
+3V3,C3,1,1
+3V3,C40,1,1
+3V3,C60,1,1
+3V3,C61,1,1
+3V3,C62,1,1
+3V3,C63,1,1
+3V3,C64,1,1
+3V3,C70,1,1
+3V3,JP1,1,A
+3V3,JP2,1,A
+3V3,R301,2,2
+3V3,R401,2,2
+3V3,R42,2,2
+3V3,R43,1,1
+3V3,R50,2,2
+3V3,R51,2,2
+3V3,R52,1,1
+3V3,R53,1,1
+3V3,R60,1,1
+3V3,TP1,1,3V3
+3V3,U1,1,VBAT
+3V3,U1,16,VDD
+3V3,U1,32,VDD
+3V3,U1,48,VDD
+3V3,U1,64,VDD
+3V3,U2,26,VREF
+3V3,U3,23,nSLEEP
+3V3,U3,28,INLA
+3V3,U3,30,INLB
+3V3,U3,32,INLC
+3V3,U4,23,nSLEEP
+3V3,U4,28,INLA
+3V3,U4,30,INLB
+3V3,U4,32,INLC
+3V3,U5,5,VOUT
+3V3,U6,5,VCC
+3V3,U7,6,VS
+3V3A,C65,1,1
+3V3A,C66,1,1
+3V3A,R60,2,2
+3V3A,U1,28,VREF+
+3V3A,U1,29,VDDA
+5V,C29,1,1
+5V,C30,1,1
+5V,C69,1,1
+5V,J1,1,+5V
+5V,J1,13,+5V
+5V,J1,2,+5V
+5V,JP1,3,B
+5V,JP2,3,B
+5V,L1,2,2
+5V,R20,1,1
+5V,R62,1,1
+5V,U5,1,VIN
+5V,U5,3,EN
BAL0,J4,1,B0
BAL0,R6,1,1
BAL1,J4,2,B1
BAL1,R7,1,1
BAL2,J4,3,B2
BAL2,R8,1,1
BAL3,J4,4,B3
BAL3,R9,1,1
BAL4,J4,5,B4
BAL4,R10,1,1
BAL4,R11,1,1
BAT_NEG,J_BAT-,1,BAT-
BAT_NEG,Q7,5,D
BMS_ALERT,J1,17,BMS_ALERT
BMS_ALERT,U8,14,ALERT
BMS_BAT,C9,1,1
BMS_BAT,R11,2,2
BMS_BAT,U8,16,REGSRC
BMS_BAT,U8,17,BAT
BMS_SCL,J1,16,BMS_SCL
BMS_SCL,U8,12,SCL
BMS_SDA,J1,15,BMS_SDA
BMS_SDA,U8,13,SDA
BOOT0,R61,1,1
BOOT0,U1,61,PB8-BOOT0
BUCK_CB,C28,1,1
BUCK_CB,U2,44,CB
BUCK_EN,R4,2,2
BUCK_EN,R5,1,1
BUCK_EN,U2,48,nSHDN
BUCK_FB,R20,2,2
BUCK_FB,R21,1,1
BUCK_FB,U2,1,FB
BUCK_SW,C28,2,2
BUCK_SW,D2,1,K
BUCK_SW,L1,1,1
BUCK_SW,U2,45,SW
CELL0,C4,2,2
CELL0,C8,1,1
CELL0,R6,2,2
CELL0,U8,5,VC0
CELL1,C4,1,1
CELL1,C5,2,2
CELL1,R7,2,2
CELL1,U8,3,VC2
CELL1,U8,4,VC1
CELL2,C5,1,1
CELL2,C6,2,2
CELL2,R8,2,2
CELL2,U8,1,VC4
CELL2,U8,2,VC3
CELL3,C6,1,1
CELL3,C7,2,2
CELL3,R9,2,2
CELL3,U8,19,VC6
CELL3,U8,20,VC5
CELL4,C7,1,1
CELL4,R10,2,2
CELL4,U8,18,VC7
DRV_OFF,R50,1,1
DRV_OFF,U1,3,PC14
DRV_OFF,U3,21,DRVOFF
DRV_OFF,U4,21,DRVOFF
GND,C1,2,-
GND,C22,2,2
GND,C23,2,2
GND,C24,2,2
GND,C25,2,2
GND,C26,2,2
GND,C27,2,2
GND,C29,2,2
GND,C3,2,2
GND,C30,2,2
GND,C300,2,2
GND,C301,2,2
GND,C302,2,2
GND,C305,2,2
GND,C306,2,2
GND,C307,2,2
GND,C40,2,2
GND,C400,2,2
GND,C401,2,2
GND,C402,2,2
GND,C405,2,2
GND,C406,2,2
GND,C407,2,2
GND,C60,2,2
GND,C61,2,2
GND,C62,2,2
GND,C63,2,2
GND,C64,2,2
GND,C65,2,2
GND,C66,2,2
GND,C67,2,2
GND,C68,2,2
GND,C69,2,2
GND,C70,2,2
GND,C8,2,2
GND,C9,2,2
GND,D1,2,A
GND,D2,2,A
GND,D3,1,K
GND,D4,2,A
GND,J1,12,GND
GND,J1,14,GND
GND,J1,20,GND
GND,J1,3,GND
GND,J1,4,GND
GND,J2,2,GND
GND,J2,MP,MP
GND,J3,2,GND
GND,J3,MP,MP
GND,NT1,2,2
GND,NT2,2,2
GND,NT3,2,2
GND,Q7,1,S
GND,Q7,2,S
GND,Q7,3,S
GND,R21,2,2
GND,R23,2,2
GND,R25,2,2
GND,R27,2,2
GND,R40,2,2
GND,R41,2,2
GND,R5,2,2
GND,R61,2,2
GND,R64,2,2
GND,RS1,2,2
GND,RS2,2,2
GND,RS3,2,2
GND,TH1,2,2
GND,TP5,1,GND
GND,U1,15,VSS
GND,U1,27,VSSA
GND,U1,31,VSS
GND,U1,47,VSS
GND,U1,63,VSS
GND,U2,2,PGND
GND,U2,27,DGND
GND,U2,34,CAL
GND,U2,35,AGND
GND,U2,43,BGND
GND,U2,49,PAD
GND,U3,12,PGND
GND,U3,15,PGND
GND,U3,18,PGND
GND,U3,2,AGND
GND,U3,26,AGND
GND,U3,4,GND_BK
GND,U3,41,PAD
GND,U4,12,PGND
GND,U4,15,PGND
GND,U4,18,PGND
GND,U4,2,AGND
GND,U4,26,AGND
GND,U4,4,GND_BK
GND,U4,41,PAD
GND,U5,2,GND
GND,U6,3,GND
GND,U7,7,GND
GND,U8,11,VSS
GND,U8,21,PAD
GND,U8,6,SRP
GND,U8,7,SRN
GND,U8,8,TS
INA_INN,C2,2,2
INA_INN,R3,2,2
INA_INN,U7,9,IN-
INA_INP,C2,1,1
INA_INP,R2,2,2
INA_INP,U7,10,IN+
INA_nCS,U1,45,PA11
INA_nCS,U7,1,CS
LED_A,D3,2,A
LED_A,R62,2,2
L_A,J_LA,1,A
L_A,U3,13,OUTA
L_A,U3,14,OUTA
L_AVDD,C305,1,1
L_AVDD,C306,1,1
L_AVDD,U3,25,AVDD
L_AVDD,U3,37,VREF/ILIM
L_B,J_LB,1,B
L_B,U3,16,OUTB
L_B,U3,17,OUTB
L_C,J_LC,1,C
L_C,U3,19,OUTC
L_C,U3,20,OUTC
L_CP,C303,1,1
L_CP,U3,8,CP
L_CPH,C304,1,1
L_CPH,U3,7,CPH
L_CPL,C304,2,2
L_CPL,U3,6,CPL
L_FBBK,C307,1,1
L_FBBK,R300,2,2
L_FBBK,U3,3,FB_BK
L_INHA,U1,59,PB6
L_INHA,U3,27,INHA
L_INHB,U1,39,PC7
L_INHB,U3,29,INHB
L_INHC,U1,62,PB9
L_INHC,U3,31,INHC
L_MTEMP,J2,6,TEMP
L_MTEMP,R52,2,2
L_MTEMP,U1,5,PF0
L_S1,J2,3,S1
L_S1,U1,38,PC6
L_S2,J2,4,S2
L_S2,U1,58,PB5
L_S3,J2,5,S3
L_S3,U1,24,PB0
L_SOA,U1,8,PC0
L_SOA,U3,40,SOA
L_SOB,U1,9,PC1
L_SOB,U3,39,SOB
L_SOC,U1,11,PC3
L_SOC,U3,38,SOC
L_SWBK,R300,1,1
L_SWBK,U3,5,SW_BK
L_VS,J2,1,VS
L_VS,JP1,2,C
L_nCS,U1,41,PC9
L_nCS,U3,36,nSCS
L_nFAULT,R301,1,1
L_nFAULT,U1,60,PB7
L_nFAULT,U3,22,nFAULT
MB_RX,J1,6,MB_RX
MB_RX,U1,23,PC5
MB_TX,J1,5,MB_TX
MB_TX,U1,22,PC4
NC,J1,18,SPARE1
NC,J1,19,SPARE2
NC,U2,46,NC
NC,U3,1,NC
NC,U3,24,NC
NC,U4,1,NC
NC,U4,24,NC
NC,U5,4,NC
NC,U8,10,CHG
NC,U8,15,REGOUT
NC,U8,9,DSG
NRST,C67,1,1
NRST,J1,8,NRST
NRST,TP4,1,NRST
NRST,U1,7,PG10-NRST
RPP_G,D4,1,K
RPP_G,Q7,4,G
RPP_G,R1,2,2
R_A,J_RA,1,A
R_A,U4,13,OUTA
R_A,U4,14,OUTA
R_AVDD,C405,1,1
R_AVDD,C406,1,1
R_AVDD,U4,25,AVDD
R_AVDD,U4,37,VREF/ILIM
R_B,J_RB,1,B
R_B,U4,16,OUTB
R_B,U4,17,OUTB
R_C,J_RC,1,C
R_C,U4,19,OUTC
R_C,U4,20,OUTC
R_CP,C403,1,1
R_CP,U4,8,CP
R_CPH,C404,1,1
R_CPH,U4,7,CPH
R_CPL,C404,2,2
R_CPL,U4,6,CPL
R_FBBK,C407,1,1
R_FBBK,R400,2,2
R_FBBK,U4,3,FB_BK
R_INHA,U1,26,PB2
R_INHA,U4,27,INHA
R_INHB,U1,10,PC2
R_INHB,U4,29,INHB
R_INHC,U1,40,PC8
R_INHC,U4,31,INHC
R_MTEMP,J3,6,TEMP
R_MTEMP,R53,2,2
R_MTEMP,U1,6,PF1
R_S1,J3,3,S1
R_S1,U1,51,PA15
R_S2,J3,4,S2
R_S2,U1,56,PB3
R_S3,J3,5,S3
R_S3,U1,30,PB10
R_SOA,U1,20,PA6
R_SOA,U4,40,SOA
R_SOB,U1,21,PA7
R_SOB,U4,39,SOB
R_SOC,U1,25,PB1
R_SOC,U4,38,SOC
R_SWBK,R400,1,1
R_SWBK,U4,5,SW_BK
R_VS,J3,1,VS
R_VS,JP2,2,C
R_nCS,U1,57,PB4
R_nCS,U4,36,nSCS
R_nFAULT,R401,1,1
R_nFAULT,U1,4,PC15
R_nFAULT,U4,22,nFAULT
SPI_MISO,R51,1,1
SPI_MISO,U1,53,PC11
SPI_MISO,U2,29,SDO
SPI_MISO,U3,33,SDO
SPI_MISO,U4,33,SDO
SPI_MISO,U7,4,MISO
SPI_MOSI,U1,54,PC12
SPI_MOSI,U2,30,SDI
SPI_MOSI,U3,34,SDI
